Obs	log_k_s2o4_disp	log_k_s2o4_o2	log_k_s2o4_fe3	log_sitefrac	log_k_fe2_o2_fast	log_factor_k_fe2_o2_slow	log_k_fe2_cr6_fast	log_factor_k_fe2_cr6_slow	log_is2o4	log_ifeoh3	log_q	log_aqfrac	log_k_fe2aq_o2	log_k_fe2aq_cr6
Cr6_Obs_t66	15927665999999994e-21	-6029999999994925e-24	-41198789999999934e-22	-16060918899999998e-21	13123499999999198e-23	-4047000000000539e-23	-109908703e-13	-14964700000000131e-23	-7099616400000006e-21	-12818980600000005e-21	2849077e-12	4754201000000002e-21	-16680000000028443e-25	32500000000579483e-26
Cr6_Obs_t67	1655436300000001e-20	-6268000000002767e-24	-4282912000000009e-21	-16696090800000017e-21	1411319999999918e-22	-4344900000000779e-23	-11354371900000006e-21	-15573800000001e-20	-7380013000000013e-21	-13329498700000011e-21	29673529999999893e-22	4942977999999993e-21	-17300000000159907e-25	3379999999978951e-25
Cr6_Obs_t68	17205450999999996e-21	-6516000000004531e-24	-4452342e-12	-17356078400000004e-21	15168599999999894e-23	-46617999999996375e-24	-11729284e-12	-1620780000000029e-22	-7671388e-12	-1386012100000001e-20	30904430000000015e-22	51391580000000084e-22	-17950000000103734e-25	3509999999899954e-25
Cr6_Obs_t69	17881846e-12	-6772000000001432e-24	-4628410000000005e-21	-18041813000000016e-21	1629389999999879e-22	-4998599999999955e-23	-12115923000000017e-21	-16867400000000963e-23	-797415300000001e-20	-14411610000000009e-21	3218537999999987e-21	5343020999999997e-21	-18610000000041484e-25	36499999996454733e-26
Cr6_Obs_t70	18584488999999998e-21	-703899999999165e-23	-4811368999999991e-21	-18754261e-12	17493400000000031e-23	-535659999999925e-22	-12514615999999992e-21	-17553700000000658e-23	-8288741000000003e-21	-14984756999999988e-21	3351833000000014e-21	5554853999999987e-21	-19289999999797674e-25	3799999999893136e-25
Cr6_Obs_t71	1931436e-11	-73140000000108875e-25	-5001475999999987e-21	-19494422e-12	18771900000002394e-23	-573690000000024e-22	-12925694000000001e-21	-18267799999998707e-23	-8615593000000014e-21	-15580381e-12	34905330000000103e-22	5774958e-12	-19969999999892678e-25	39500000001407983e-26
Cr6_Obs_t72	20072466999999988e-21	-76000000000065e-22	-5199002999999997e-21	-20263331999999997e-21	20134199999999574e-23	-6140999999998625e-23	-13349499e-12	-19010899999999463e-23	-8955171e-12	-16199329e-12	3634847999999999e-21	6003639000000001e-21	-20669999999975528e-25	41000000000496477e-26
Cr6_Obs_t73	20859856000000003e-21	-7898000000011761e-24	-5404224000000007e-21	-21062060000000017e-21	21585799999998396e-23	-6569800000000636e-23	-13786374999999999e-21	-19784000000002316e-23	-9307948000000028e-21	-16842477999999997e-21	37850029999999797e-22	62412199999999816e-22	-21390000000046224e-25	4269999999776937e-25
Cr6_Obs_t74	21677604e-12	-8209999999991575e-24	-5617427999999995e-21	-2189171499999998e-20	2313200000000071e-22	-7025100000000096e-23	-14236678999999988e-21	-20588699999999523e-23	-9674418999999985e-21	-17510737e-12	3941222000000019e-21	648803100000001e-20	-2215999999991713e-24	44300000000185223e-26
Cr6_Obs_t75	22526829000000032e-21	-8534999999980429e-24	-5838910999999999e-21	-22753435999999973e-21	2477880000000289e-22	-7507999999996337e-23	-14700766999999986e-21	-21425999999998937e-23	-10055088999999988e-21	-18205039999999982e-21	4103747000000005e-21	6744416999999999e-21	-22949999999775884e-25	46100000000785487e-26
Cr6_Obs_t76	23408681000000006e-21	-887500000001099e-23	-6068981999999986e-21	-2364840399999999e-20	26532300000002904e-23	-8020200000001879e-23	-15179007000000007e-21	-22297500000001291e-23	-10450486999999985e-21	-18926358999999997e-21	427281900000001e-20	701073000000002e-20	-23809999999930913e-25	4790000000307981e-25
Cr6_Obs_t77	24324351999999962e-21	-9229000000033044e-24	-6307957000000017e-21	-24577837000000015e-21	2839929999999663e-22	-8563100000002317e-23	-1567176800000003e-20	-23204300000002518e-23	-10861154000000005e-21	-1967569600000001e-20	4448695999999979e-21	7287337999999984e-21	-2469000000007379e-24	4989999999847634e-25
Cr6_Obs_t78	25275067e-12	-9595999999996376e-24	-6556167999999975e-21	-2554299599999997e-20	30386700000001896e-23	-9138400000000007e-23	-16179429999999978e-21	-24147899999998326e-23	-11287651999999992e-21	-2045408699999999e-20	463163600000001e-20	7574618000000003e-21	-2562999999984139e-24	5190000000064913e-25
Cr6_Obs_t79	26262093999999994e-21	-9976999999985082e-24	-6813951999999995e-21	-2654518199999999e-20	3250210000000053e-22	-9747799999999e-20	-16702378000000004e-21	-25129700000001414e-23	-11730560999999986e-21	-2126260299999999e-20	4821911999999988e-21	787295800000001e-20	-26600000000098984e-25	5389999999943378e-25
Cr6_Obs_t80	27286740000000024e-21	-10370999999982828e-24	-7081658999999999e-21	-2758574e-11	34753500000001225e-23	-10392999999999953e-23	-17241001999999992e-21	-26150999999999133e-23	-12190477999999977e-21	-2210234699999999e-20	5019806999999995e-21	8182763000000011e-21	-27609999999993456e-25	5610000000148504e-25
Cr6_Obs_t81	28350354000000013e-21	-1077900000000595e-23	-7359649999999986e-21	-2866605600000001e-20	37149299999998875e-23	-11076099999999898e-23	-17795698999999987e-21	-2721349999999892e-22	-12668020999999997e-21	-22974463e-12	5225610000000007e-21	8504446000000012e-21	-28660000000202434e-25	5840000000178146e-25
Cr6_Obs_t82	29454326000000015e-21	-11203000000019347e-24	-7648297000000004e-21	-29787563000000005e-21	3969839999999993e-22	-1179910000000101e-22	-18366875999999996e-21	-2831890000000144e-22	-13163828e-12	-23880130000000004e-21	5439625999999992e-21	8838436000000005e-21	-29750000000048293e-25	6069999999868975e-25
Cr6_Obs_t83	3060009199999999e-20	-1164200000000669e-23	-7947984000000022e-21	-30951737999999994e-21	4241019999999868e-22	-12564400000001827e-23	-18954941999999992e-21	-2946879999999894e-22	-13678559000000023e-21	-24820565000000022e-21	5662166999999964e-21	9185173999999977e-21	-30890000000033174e-25	6299999999898618e-25
